"codigo","componente","segunda_linha"
"B00D2","Luz Indicadora 1 de Avaria do Airbag.",
"B00D3","Luz Indicadora 2 de Avaria do Airbag.",
"B00D4","Indicador Sonoro de Avaria do Airbag.",
"B00D5","Luz Indicadora de Desativação do Airbag do Passageiro.",
"B00D6","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00D7","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00D8","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00D9","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00DA","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00DB","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00DC","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00DD","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00DE","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00DF","Interruptor de Desativação do Airbag do Passageiro.",
"B00E0","Pré-Tensionador 2 do Cinto de Segurança do Banco Traseiro Adicional Esquerdo.","Falha no controle de disparo."
"B00E1","Pré-Tensionador 2 do Cinto de Segurança do Banco Traseiro Adicional Direito.","Falha no controle de disparo."
"B00E2","Pré-Tensionador 2 do Cinto de Segurança do Banco Traseiro Central.","Falha no controle de disparo."
"B00E3","Pré-Tensionador 3 do Cinto de Segurança do Banco Traseiro Esquerdo.","Falha no controle de disparo."
"B00E4","Pré-Tensionador 3 do Cinto de Segurança do Banco Traseiro Direito.","Falha no controle de disparo."
"B00E5","Pré-Tensionador 3 do Cinto de Segurança do Banco Traseiro Central.","Falha no controle de disparo."
"B00E6","Pré-Tensionador 3 do Cinto de Segurança do Banco Traseiro Adicional Direito.","Falha no controle de disparo."
"B00E7","Pré-Tensionador 3 do Cinto de Segurança do Banco Traseiro Adicional Esquerdo.","Falha no controle de disparo."
"B00E8","Pré-Tensionador 3 do Cinto de Segurança do Banco Traseiro Adicional Central.","Falha no controle de disparo."
"B00E9","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00EA","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00EB","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00EC","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00ED","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00EE","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00EF","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00F0","Cinto de Segurança Inflável - Banco do Motorista.","Falha no controle de disparo."
"B00F1","Cinto de Segurança Inflável - Banco do Passageiro.","Falha no controle de disparo."
"B00F2","Cinto de Segurança Inflável - Banco Traseiro Esquerdo.","Falha no controle de disparo."
"B00F3","Cinto de Segurança Inflável - Banco Traseiro Central.","Falha no controle de disparo."
"B00F4","Cinto de Segurança Inflável - Banco Traseiro Direito.","Falha no controle de disparo."
"B00F5","Cinto de Segurança Inflável - Banco Traseiro Adicional Esquerdo.","Falha no controle de disparo."
"B00F6","Cinto de Segurança Inflável - Banco Traseiro Adicional Central.","Falha no controle de disparo."
"B00F7","Cinto de Segurança Inflável - Banco Traseiro Adicional Direito.","Falha no controle de disparo."
"B00F8","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00F9","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00FA","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00FB","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00FC","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00FD","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00FE","Código reservado para uso futuro pelas normas ISO/SAE.",
"B00FF","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0100","Atuador do Soprador de Ar 1 - Limpeza do Sensor.",
"B0101","Atuador do Soprador de Ar 2 - Limpeza do Sensor.",
"B0102","Atuador do Soprador de Ar 1 - Limpeza do Sensor.","Falha no controle."
"B0103","Atuador do Soprador de Ar 2 - Limpeza do Sensor.","Falha no controle."
"B0104","Atuador do Soprador de Ar 1 - Limpeza do Sensor.","Falha no controle do relé."
"B0105","Atuador do Soprador de Ar 2 - Limpeza do Sensor.","Falha no controle do relé."
"B0106","Lavador do LiDAR 1.",
"B0107","Lavador do LiDAR 2.",
"B0108","Lavador do LiDAR 3.",
"B0109","Lavador do LiDAR 4.",
"B010A","Lavador da Câmera 1.",
"B010B","Lavador da Câmera 2.",
"B010C","Lavador da Câmera 3.",
"B010D","Lavador da Câmera 4.",
"B010E","Lavador da Câmera 5.",
"B010F","Lavador da Câmera 6.",
"B0110","Lavador da Câmera 7.",
"B0111","Lavador da Câmera 8.",
"B0112","Lavador da Câmera 9.",
"B0113","Lavador da Câmera 10.",
"B0114","Lavador da Câmera 11.",
"B0115","Lavador da Câmera 12.",
"B0116","Lavador da Câmera 13.",
"B0117","Lavador da Câmera 14.",
"B0118","Lavador da Câmera 15.",
"B0119","Lavador da Câmera 16.",
"B011A","Lavador da Câmera 17.",
"B011B","Lavador da Câmera 18.",
"B011C","Sensor de Nível do Reservatório de Fluido 1.",
"B011D","Sensor de Nível do Reservatório de Fluido 2.",
"B011E","Sensor de Nível do Reservatório de Fluido 3.",
"B011F","Sensor de Nível do Reservatório de Fluido 4.",
"B0120","Sensor de Nível do Reservatório de Fluido 5.",
"B0121","Sensor de Nível do Reservatório de Fluido 6.",
"B0122","Indicador Sonoro de Alerta de Passagem de Pedestres 1.",
"B0123","Indicador Sonoro de Alerta de Passagem de Pedestres 2.",
"B0124","Câmera de Visão Noturna.",
"B0125","Módulo de Controle do Sistema de Visão Noturna.",
"B0126","Câmera de Monitoramento do Motorista.",
"B0127","Conversor de Tensão (DC/AC) 1 - Saída 1 de Alta Tensão.","Circuito aberto."
"B0128","Conversor de Tensão (DC/AC) 1 - Saída 2 de Alta Tensão.","Circuito aberto."
"B0129","Conversor de Tensão (DC/AC) 1 - Saída 3 de Alta Tensão.","Circuito aberto."
"B012A","Conversor de Tensão (DC/AC) 1 - Saída 4 de Alta Tensão.","Circuito aberto."
"B012B","Conversor de Tensão (DC/AC) 1 - Saída 5 de Alta Tensão.","Circuito aberto."
"B012C","Conversor de Tensão (DC/AC) 1 - Módulo de Controle 1.",
"B012D","Conversor de Tensão (DC/AC) 1 - Módulo de Controle 2.",
"B012E","Conversor de Tensão (DC/AC) 1 - Módulo de Controle 3.",
"B012F","Lavador do Sensor A/V 1.","Falha no circuito de controle."
"B0130","Lavador do Sensor A/V 2.","Falha no circuito de controle."
"B0131","Lavador do Sensor A/V 3.","Falha no circuito de controle."
"B0132","Lavador do Sensor A/V 4.","Falha no circuito de controle."
"B0133","Lavador do Sensor A/V 5.","Falha no circuito de controle."
"B0134","Lavador do Sensor A/V 6.","Falha no circuito de controle."
"B0135","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0136","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0137","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0138","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0139","Código reservado para uso futuro pelas normas ISO/SAE.",
"B013A","Código reservado para uso futuro pelas normas ISO/SAE.",
"B013B","Código reservado para uso futuro pelas normas ISO/SAE.",
"B013C","Código reservado para uso futuro pelas normas ISO/SAE.",
"B013D","Código reservado para uso futuro pelas normas ISO/SAE.",
"B013E","Código reservado para uso futuro pelas normas ISO/SAE.",
"B013F","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0140","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0141","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0142","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0143","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0144","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0145","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0146","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0147","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0148","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0149","Código reservado para uso futuro pelas normas ISO/SAE.",
"B014A","Código reservado para uso futuro pelas normas ISO/SAE.",
"B014B","Código reservado para uso futuro pelas normas ISO/SAE.",
"B014C","Código reservado para uso futuro pelas normas ISO/SAE.",
"B014D","Código reservado para uso futuro pelas normas ISO/SAE.",
"B014E","Código reservado para uso futuro pelas normas ISO/SAE.",
"B014F","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0150","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0151","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0152","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0153","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0154","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0155","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0156","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0157","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0158","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0159","Código reservado para uso futuro pelas normas ISO/SAE.",
"B015A","Código reservado para uso futuro pelas normas ISO/SAE.",
"B015B","Código reservado para uso futuro pelas normas ISO/SAE.",
"B015C","Código reservado para uso futuro pelas normas ISO/SAE.",
"B015D","Código reservado para uso futuro pelas normas ISO/SAE.",
"B015E","Código reservado para uso futuro pelas normas ISO/SAE.",
"B015F","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0160","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0161","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0162","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0163","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0164","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0165","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0166","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0167","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0168","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0169","Código reservado para uso futuro pelas normas ISO/SAE.",
"B016A","Código reservado para uso futuro pelas normas ISO/SAE.",
"B016B","Código reservado para uso futuro pelas normas ISO/SAE.",
"B016C","Código reservado para uso futuro pelas normas ISO/SAE.",
"B016D","Código reservado para uso futuro pelas normas ISO/SAE.",
"B016E","Código reservado para uso futuro pelas normas ISO/SAE.",
"B016F","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0170","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0171","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0172","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0173","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0174","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0175","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0176","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0177","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0178","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0179","Código reservado para uso futuro pelas normas ISO/SAE.",
"B017A","Código reservado para uso futuro pelas normas ISO/SAE.",
"B017B","Código reservado para uso futuro pelas normas ISO/SAE.",
"B017C","Código reservado para uso futuro pelas normas ISO/SAE.",
"B017D","Código reservado para uso futuro pelas normas ISO/SAE.",
"B017E","Código reservado para uso futuro pelas normas ISO/SAE.",
"B017F","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0180","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0181","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0182","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0183","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0184","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0185","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0186","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0187","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0188","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0189","Código reservado para uso futuro pelas normas ISO/SAE.",
"B018A","Código reservado para uso futuro pelas normas ISO/SAE.",
"B018B","Código reservado para uso futuro pelas normas ISO/SAE.",
"B018C","Código reservado para uso futuro pelas normas ISO/SAE.",
"B018D","Código reservado para uso futuro pelas normas ISO/SAE.",
"B018E","Código reservado para uso futuro pelas normas ISO/SAE.",
"B018F","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0190","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0191","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0192","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0193","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0194","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0195","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0196","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0197","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0198","Código reservado para uso futuro pelas normas ISO/SAE.",
"B0199","Código reservado para uso futuro pelas normas ISO/SAE.",
"B019A","Código reservado para uso futuro pelas normas ISO/SAE.",
